doc_id,text
64,RT @AACanli: #Canlı: #Galatasaray Başkanı Mustafa Cengiz basın mensuplarının sorularını yanıtlıyor https://t.co/iFBWds9tbt
65,SGK 5 kanser ilacını geri ödeme kapsamına aldı https://t.co/3qAteSRSM6 https://t.co/idNwVonm2Y
66,PKK'nın terör kamplarına yönelik operasyon sürüyor https://t.co/itJRhkLygu https://t.co/igIggTmBwZ
67,"- Oğlumun yanı sıra amcam ve dedem de şehit
- #15Temmuz bize her türlü oyunu nasıl bozacağımızı gösterdi

Fetullahçı Terör Örgütü'nün darbe girişiminde şehit olan yüksek ihtisas mühendisi Mehmet Şengül'ün Kıbrıs gazisi babası AA'ya konuştu https://t.co/3vvuTtgGBv https://t.co/YlAFri0B6g"
68,Başlangıcından bu yana #ZeytinDalıHarekatı'nın unutulmaz kareleri bir arada https://t.co/3RjH8OsQeQ https://t.co/JszsIwmkkW
69,"Fetullahçı Terör Örgütü'nün Deniz Kuvvetleri Komutanlığı astsubay yapılanmasına yönelik soruşturmada 11 gözaltı

#İstanbul'da yürütülen soruşturmada 16 şüpheli hakkında yakalama ve gözaltı kararı verilmişti https://t.co/BJTGp12cDA https://t.co/BY37coKImK"
70,#Belarus'un Ankara Büyükelçisi Savinykh: Nasreddin Hoca fıkraları çocukluğumda başucu kitabımdı https://t.co/uCv4H315Qm https://t.co/jB8AHovwqB
71,"Sağlıklı Yaşam Aracı, 10 milyon kişiye ulaştı

81 ilde hizmet vermek için iki yıl önce yola çıkan Sağlıklı Yaşam Araçları, 3 milyon kilometre yol kat ederek 10 milyon kişiyle temas etti https://t.co/Ec0Lzxjlxt https://t.co/EvJ2NpmOty"
72,"RT @AACanli: #Canlı: Milli eskrimciler Deniz Selin Ünlüdağ ve Aylin Çakır, #AASporMasası'nda soruları cevaplıyor https://t.co/BsylhC28Qi"
73,Aile ve Sosyal Politikalar Bakanı Kaya'dan 'Zeytin Dalı' paylaşımı https://t.co/VNwhVLlQYQ https://t.co/HI3UnQhxdK
74,Yasa dışı yollardan Yunanistan'a kaçmak isterken pirinç tarlasında yakalanan 7 FETÖ şüphelisi tutuklandı https://t.co/fN7aoGPi1f https://t.co/hsSCaSD5iM
75,"RT @aa_spor: #EczacıbaşıVitrA, Kadınlar CEV Kupasında finale yükselmeyi garantiledi https://t.co/QwhIGv15zP https://t.co/a5PGdfIQ6o"
76,"#İsrail, #Suriye'de hava saldırısı düzenlediğini doğruladı https://t.co/DVtzizGfP5 https://t.co/gcNZthCsfw"
77,Cumhurbaşkanı Erdoğan'dan eski MHP Milletvekili emekli büyükelçi Bölükbaşı'nın eşine taziye telefonu https://t.co/1aYLUNywun https://t.co/fyAXdJMCya
78,"#ZeytinDalıHarekatı kapsamında #Afrin’i PYD/PKK'lı teröristlerden arındıran Kahraman Mehmetçik, ilçe merkezinde terör örgütü üyelerince kullanılan sığınak ve silah depolarını arıyor https://t.co/wAnwJgELLp https://t.co/GbHbxFGLcZ"
79,"TSK ve ÖSO'nun #Afrin'de teröristlerin işgalindeki bölgeleri özgürleştirmesiyle yerel meclisler yeniden açılıyor.

Teröristlerin kapattığı yerel meclisler #ZeytinDalıHarekatı ile hayat buluyor https://t.co/WvCAEI3lTn https://t.co/UmL5VBVQRN"
80,#ZeytinDalıHarekatı kapsamında PYD/PKK'lı teröristlerden temizlenen #Afrin'deki arama-tarama çalışmaları sırasında teröristlerin mezarlığı bulundu https://t.co/5RjNozdpbS https://t.co/lFPPPNj9Ef
81,"İHH, #ZeytinDalıHarekatı kapsamında, terör örgütü PYD/PKK'dan temizlenen #Afrin’e gıda yardımı ulaştırdı https://t.co/zEivtT7Pux https://t.co/iyo9tz1EjU"
82,"❝İnsanların buraya gelip davaları izlemeleri lazım❞

Oyuncu Durul Bazan, Fetullahçı Terör Örgütü'nün darbe girişimi sırasında 34 kişinin şehit edildiği 15 Temmuz Şehitler Köprüsü'ndeki olaylara ilişkin davayı izledi https://t.co/4dnMWCqfoU https://t.co/CrNkimPmaE"
83,Terör örgütü YPG/PKK'dan temizlenen #Afrin bölgesinde minikler özgürlüğün keyfini yaşıyor https://t.co/8yigsgIpXc https://t.co/MKFYBwXHcn
84,"Meslekten ihraç edilen 4 hakim ve savcı ile 2 hakim adayı gözaltına alındı

Fetullahçı Terör Örgütü'nün 'hakim ve savcı çalışma evleri'ne yönelik soruşturma kapsamında 5 ilde operasyon düzenlendi https://t.co/OptgIDnrmb https://t.co/WKZUPKE2A6"
85,Fetullahçı Terör Örgütü’nün yurt dışına kaçan firarileri https://t.co/MtfKjQHdh8 https://t.co/nkrq3Yb8RS
86,Komiserlik sorularını sızdıran polis ve öğretmen 14 şüpheli hakkında gözaltı kararı alındı https://t.co/ZCw2Kz98Aa https://t.co/0jGn07wxfv
87,"Sivillerin kullandığı binalarda tek kurşun izi dahi yok

Türk Silahlı Kuvvetlerinin sivil hassasiyeti #Afrin’deki binalarda kendini gösterdi https://t.co/56YBjiPEop https://t.co/kLwAX2Rs19"
88,"Üsküdar Belediyesi'nin Tebessüm Kahvesi'nde çalışan down sendromlu Emrah'ın yaşama sevinci, ilgi alanları, insan ilişkileri kendisi gibi gençlere, ailelerine ve topluma umut veriyor 

👆🏻 Tamamı #YouTube kanalımızda: https://t.co/C6JWirORVt https://t.co/OV0ysyxuuj"
89,#CHP Genel Başkanı Kılıçdaroğlu Nevruz Bayramı'nı kutladı https://t.co/LBIYiGdX1V https://t.co/yDELZRZH7V
90,"❝Bölge halkı kardeşimiz. Türk, Kürt, Arap, Acem ve bu topraklarda yaşayan herkes dost ve kardeş❞

2. Ordu Komutanı Korgeneral İsmail Metin Temel’den Afrin’de kardeşlik mesajı https://t.co/FWG5XA9TtQ https://t.co/BM1DKDpYEn"
91,Bombalı saldırı hazırlığındaki teröristlere yönelik operasyonda 7 şüpheli yakalandı https://t.co/Oqcv1mFq7j https://t.co/Wh3pHOJ9tq
92,"Deniz Baykal, tedavisinin tamamlandığı Münih'ten Sağlık Bakanlığına ait ambulans uçakla Ankara'ya getirildi

Baykal'ın tedavisine Gülhane Eğitim ve Araştırma Hastanesi'nde bir süre daha devam edilecek https://t.co/OLY0LcjxLN https://t.co/hNJiwQiIsY"
