doc_id,token_id,token_text,start_capital,all_capital,capital_ratio,length,vowel_ratio,number_of_vowels,numeric_charecter,numeric_ratio,number_of_nonAlphanumeric,nonAlphanumericRatio,previous_word_text,prev_start_capital,prev_all_capital,prev_capital_ratio,prev_length,prev_vowel_ratio,prev_number_of_vowels,prev_numeric_charecter,prev_numeric_ratio,prev_number_of_nonAlphanumeric,prev_nonAlphanumericRatio,next_word_text,next_start_capital,next_all_capital,next_capital_ratio,next_length,next_vowel_ratio,next_number_of_vowels,next_numeric_charecter,next_numeric_ratio,next_number_of_nonAlphanumeric,next_nonAlphanumericRatio
6,8,Corporation,1,0,0.09090909090909091,11,1.2,5.0,0.0,0.0,0.0,0.0,Banking,1,0,0.14285714285714285,7,2.5,2.0,0.0,0.0,0.0,0.0,kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0
6,9,kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,Corporation,1,0,0.09090909090909091,11,1.2,5.0,0.0,0.0,0.0,0.0,KUdNHJCGGS,1,0,0.9,10,9.0,1.0,0.0,0.0,0.0,0.0
7,1,Dünya,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,Ressamlar,1,0,0.1111111111111111,9,2.0,3.0,0.0,0.0,0.0,0.0
7,2,Ressamlar,1,0,0.1111111111111111,9,2.0,3.0,0.0,0.0,0.0,0.0,Dünya,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,Günü,1,0,0.25,4,1.0,2.0,0.0,0.0,0.0,0.0
8,3,NAsA,1,0,0.75,4,1.0,2.0,0.0,0.0,0.0,0.0,1915,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,National,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0
8,4,National,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,NAsA,1,0,0.75,4,1.0,2.0,0.0,0.0,0.0,0.0,Aeronautics,1,0,0.09090909090909091,11,0.8333333333333334,6.0,0.0,0.0,0.0,0.0
8,5,Aeronautics,1,0,0.09090909090909091,11,0.8333333333333334,6.0,0.0,0.0,0.0,0.0,National,1,0,0.125,8,1.0,4.0,0.0,0.0,0.0,0.0,and,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0
8,7,Space,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,and,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,Administration,1,0,0.07142857142857142,14,1.3333333333333333,6.0,0.0,0.0,0.0,0.0
8,8,Administration,1,0,0.07142857142857142,14,1.3333333333333333,6.0,0.0,0.0,0.0,0.0,Space,1,0,0.2,5,1.5,2.0,0.0,0.0,0.0,0.0,kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0
8,9,kuruldu,0,0,0.0,7,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,Administration,1,0,0.07142857142857142,14,1.3333333333333333,6.0,0.0,0.0,0.0,0.0,sGVKi2laGP,0,0,0.5,10,3.5,2.0,1.0,0.1,0.0,0.0
9,3,Time,1,0,0.25,4,1.0,2.0,0.0,0.0,0.0,0.0,1923,0,0,0.0,4,0.0,0.0,4.0,1.0,0.0,0.0,dergisinin,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0
9,4,dergisinin,0,0,0.0,10,1.5,4.0,0.0,0.0,0.0,0.0,Time,1,0,0.25,4,1.0,2.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0
10,6,buz,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,ilk,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,hokeyi,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0
10,7,hokeyi,0,0,0.0,6,1.0,3.0,0.0,0.0,0.0,0.0,buz,0,0,0.0,3,2.0,1.0,0.0,0.0,0.0,0.0,Montreal,1,0,0.125,8,1.6666666666666667,3.0,0.0,0.0,0.0,0.0
