doc_id,text
99,Üsküdar'ýn bakkal Kanber amcasý 'Ýyilik Ödülleri' töreninde ödüle layýk görülmüþtü ? https://t.co/q9YsEdVdpF
100,Bakanlýk harekete geçti! Çiftlik Bank'tan sonra sýrada Çýlgýn Tavuklar var https://t.co/7d89vkzgWE https://t.co/8ZRCGTmtoK
101,Afrin þehir merkezine Türk bayraðý asýldý https://t.co/phnXbR5x0G https://t.co/EdaMvoSfvK
102,Bahçelievler'de iki araba kundaklandý https://t.co/UbarLpQJNT https://t.co/SdlNmZ76dF
103,Lise öðrencilerinden Mehmetçik'e destek  https://t.co/3KwmxZUfZL https://t.co/92ufobk5QE
104,RT @CNNTURKSpor: Beþiktaþ'ýn 115. yýl formasý ortalýðý karýþtýrdý https://t.co/4b6uwEjkb9 https://t.co/ItJ6u1VLv0
105,"18 Mart, Miladi takvim'ne göre yýlýn 77. (artýk yýllarda 78.) günüdür. Yýl sonuna kadar kalan 288 gün vardýr."
106,"Ýstanbul Taksiciler Esnaf Odasý Baþkaný Eyüp Aksu ""Taksici esnafý ekmeði için, emeði için her þeyi yapar."" https://t.co/jlZY57KeoB"
107,"12 Mart, Miladi takvim'ne göre yýlýn 71. (artýk yýllarda 72.) günüdür. Yýl sonuna kadar kalan 294 gün vardýr."
108,"11/03/1988 - Montajýnýn tamamý Türkiye'de yapýlan ilk F-16, Hava Kuvvetleri Komutanlýðý'na teslim edildi."
109,"11/03/1702 - Ýngiltere'nin günlük olarak yayýmlanan ilk ulusal gazetesi, Daily Courant çýkmaya baþladý."
110,"11/03/1867 - Giuseppe Verdi'nin Don Carlos operasý, ilk kez Paris'te Théâtre Impérial de l’Opéra'da sahnelendi."
111,"11 Mart, Miladi takvim'ne göre yýlýn 70. (artýk yýllarda 71.) günüdür. Yýl sonuna kadar kalan 295 gün vardýr."
112,"4 Mart, Miladi takvim'ne göre yýlýn 63. (artýk yýllarda 64.) günüdür. Yýl sonuna kadar kalan 302 gün vardýr."
113,"3 Mart, Miladi takvim'ne göre yýlýn 62. (artýk yýllarda 63.) günüdür. Yýl sonuna kadar kalan 303 gün vardýr."
114,"2 Mart, Miladi takvim'ne göre yýlýn 61. (artýk yýllarda 62.) günüdür. Yýl sonuna kadar kalan 304 gün vardýr."
115,"01/03/1989 - Türkiye'nin ilk özel TV kanalý Star 1 (StarTV), yayýn hayatýna baþladý. https://t.co/5GbeI0NSz3"
116,"1 Mart, Gregoryen Takvimi'ne göre yýlýn 60. (artýk yýllarda 61.) günüdür. Yýl sonuna kadar kalan 305 gün vardýr."
117,"28 Þubat, Gregoryen Takvimi'ne göre yýlýn 59. günüdür. Yýl sonuna kadar kalan 306 gün vardýr (artýk yýllarda 307)."
118,27/02/1863 - Türkiye'de bilinen ilk resim sergisi Ýstanbul Atmeydaný'nda (Sultanahmet Meydaný) açýldý.
119,27/02/1964 - Coca-Cola'nýn dünya üzerindeki 1916'ncý fabrikasý Ýstanbul'da açýldý. https://t.co/XZUasvKkp4
120,"27 Þubat, Gregoryen Takvimi'ne göre yýlýn 58. günüdür. Yýl sonuna kadar kalan 307 gün vardýr (artýk yýllarda 308)."
121,26/02/1992 - Hocalý Katliamý; Azerbaycan'ýn Hocalý kentine giren silahlý Ermeni gruplar 613 Azeri'yi öldürdü. https://t.co/nyHvBuOJxm
122,"26 Þubat, Gregoryen Takvimi'ne göre yýlýn 57. günüdür. Yýl sonuna kadar kalan 308 gün vardýr (artýk yýllarda 309)."
123,"25 Þubat, Gregoryen Takvimi'ne göre yýlýn 56. günüdür. Yýl sonuna kadar kalan 309 gün vardýr (artýk yýllarda 310)."
124,"24/02/1955 - Apple Inc,  Next Computer ve Pixar Animasyon Stüdyolarý'nýn kurucusu Steve Jobs ABD'de doðdu.  (ö. 2011) https://t.co/0Ym02Rq0lR"
125,"Onbir ayýn sultaný ?? Kösem Sultan Ýftar Menüsü - Kösem Sultan #Süleymaniye #HayýrlýRamazanlar
Detaylý Bilgi: https://t.co/TUeQtvdDeQ https://t.co/S0VfvAmtKA"
126,"Serpme #Kahvaltý- Seyr-i Cihan Cafe Restaurant Ýstanbul Fatih #Süleymaniye 
Çalýþma Saatleri  Hafta Ýçi 09:00 - 01:00
? 0 212 570 70 07 
? 54? / 2 Kiþi 
? 12? / Sosis Tabaðý 
? 10? / Gözleme
? 10? / Menemen 
? Portakal Suyu fiyata dahil deðildir
#yemekneredeyenircom https://t.co/aojrWfDtJ6"
127,@yeceaslan Biz de seni minnoþ ??
128,"15 Aðustos, Gregoryen Takvimi'ne göre yýlýn 227. (artýk yýllarda 228.) günüdür. Yýl sonuna kadar kalan 138 gün vardýr."
129,"13 Aðustos, Gregoryen Takvimi'ne göre yýlýn 225. (artýk yýllarda 226.) günüdür. Yýl sonuna kadar kalan 140 gün vardýr."
130,"Adana'da film gibi olay: Polis araçlarýna çarparak kaçtý, peþine 20 ekip aracý takýldý https://t.co/6OB6tgBEwd https://t.co/Mll8Wblg6m"
131,"30 Kasým, Miladi takvim'ne göre yýlýn 334. (artýk yýllarda 335.) günüdür. Yýl sonuna kadar kalan 31 gün vardýr."
132,"RT @cnnturkrenk: Avukatýndan açýklama geldi: ""Berk Oktay ve eþi Merve Þarapçýoðlu hacker kurbaný"" https://t.co/g18rkXFdLG https://t.co/IC0f…"
133,"Cem Uzan baðýþ yaptý, Ýngiltere karýþtý! Eþi Prensle yan yana otursun diye...  https://t.co/ae8ayiyu1d https://t.co/FCylIHdEFm"
134,"10 Þubat, Miladi takvim'ne göre yýlýn 41. günüdür. Yýl sonuna kadar kalan 324 gün vardýr (artýk yýllarda 325)."
135,"Beyran Adý geçtiði an ansýzýn Dürümcü Emmi ye doðru yola çýkýlýr , yoksa uyuyamam ????… https://t.co/UfpmODT2oG"
136,"#Izgara &amp; #Kebap Çeþitleri - Kimyon / Ýstanbul ( #karsýyaka Kadýköy - Kadife Sokak 
? Çalýþma Saatleri 09:00-05:00
? 0 216 330 48 45
? 24?/ Adana Kebap 
? 22?/ Köfte Izgara
? 19?/ Tavuk Þiþ 
? 19?/ Tavuk Kanat 
? 14?/ Çið Köfte Porsiyon
#yemekneredeyenircom https://t.co/MNX02s31c4"
137,Bu yaðmurlu havada ? #bng https://t.co/2DIqAU1BV7
